Country,Continent,Adolescent fertility rate (births per 1000 women ages 15-19),Agricultural land (sq. km),Aid per capita (current US$),Air transport passengers carried,Arable land (hectares),Average number of times firms spent in meetings with tax officials,Average time to clear exports through customs (days),Birth rate crude (per 1000 people),Death rate crude (per 1000 people),Electric power consumption (kWh),Fertility rate total (births per woman),Forest area (sq. km),GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate adult female (per 1000 female adults),Mortality rate adult male (per 1000 male adults),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population growth (annual %),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Afghanistan,Asia,NA,380480,NA,NA,7910000,NA,NA,NA,NA,NA,NA,8670,NA,20,NA,76,NA,1,652090,NA,NA,NA,NA,NA,10,NA,NA,NA,0,0,NA,NA,NA,0,NA,59,33,NA,NA,NA,652090,NA
Albania,Europe,16,11230,101,195702,578000,7,1,17,6,3681000000,2,7940,4793518592,169,3,98,2,6,27400,79,73,76,NA,7,1,52,109,16,2,NA,1,3153731,50,0,NA,NA,NA,NA,NA,NA,28750,NA
Algeria,Middle East & North Africa,8,411500,11,3037298,7450000,NA,NA,21,5,2.95E+10,2,22770,6.97E+10,108,NA,88,2,6,2381740,73,70,72,NA,NA,3,107,125,34,1,NA,1,32854159,49,0,NA,93,108,NA,NA,NA,2381740,31
AmericanSamoa,Pacific,NA,50,NA,NA,2000,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58300,NA,NA,NA,NA,NA,NA,NA,NA,200,NA
Andorra,Europe,NA,260,NA,NA,1000,NA,NA,NA,NA,NA,NA,160,NA,2556,3,98,NA,33,470,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,66200,NA,NA,NA,95,112,NA,NA,NA,470,NA
Angola,Sub-Saharan Africa,140,575900,27,239795,3300000,NA,NA,48,21,2269000000,7,591040,1.49E+10,36,NA,47,25,1,1246700,44,40,42,NA,NA,5,439,492,154,1,NA,3,16095214,51,4,NA,NA,NA,NA,NA,NA,1246700,NA
AntiguaandBarbuda,Latin America & Caribbean,NA,140,94,778260,8000,NA,NA,NA,NA,NA,NA,90,804826688,503,2,99,NA,35,440,NA,NA,NA,NA,5,NA,NA,NA,10,15,NA,1,83039,NA,NA,NA,NA,NA,NA,NA,NA,440,NA
Argentina,Latin America & Caribbean,58,1293550,3,6938436,28500000,NA,NA,18,8,9.37E+10,2,330210,3.14E+11,484,NA,92,10,18,2736690,79,71,75,NA,NA,1,82,171,14,9,NA,1,38747148,51,1,10,NA,NA,NA,NA,NA,2780400,NA
Armenia,Middle East & North Africa,30,13900,64,555795,495000,3,5,12,9,4536000000,1,2830,3402389504,88,4,90,1,5,28200,75,68,71,NA,8,3,89,198,23,10,NA,0,3017661,53,0,12,104,103,7515,NA,NA,29800,14
Aruba,Latin America & Caribbean,25,20,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,180,NA,NA,NA,NA,NA,NA,78,139,NA,8,NA,1,100300,52,NA,NA,97,103,NA,NA,NA,180,NA
Australia,Pacific,15,4451490,NA,44657324,49402000,NA,NA,13,6,2.34E+11,2,1636780,4.70E+11,3181,NA,92,3,70,7682300,83,78,81,NA,NA,2,NA,NA,5,76,NA,1,20399836,50,0,NA,100,96,NA,NA,NA,7741220,24
Austria,Europe,12,32630,NA,8037890,1387000,NA,NA,10,9,6.50E+10,1,38620,2.08E+11,3788,8,86,2,49,82450,82,77,79,NA,NA,1,55,111,4,61,NA,1,8233300,50,0,NA,100,95,NA,NA,NA,83870,20
Azerbaijan,Middle East & North Africa,29,47586,27,1134300,1843200,1,2,17,6,2.02E+10,2,9360,9911157760,62,8,93,12,8,82660,75,70,72,NA,NA,2,104,219,74,2,NA,1,8391850,51,0,NA,98,97,NA,NA,NA,86600,NA
Bahamas,Latin America & Caribbean,54,140,NA,1020000,8000,NA,NA,17,6,NA,2,5150,NA,1224,NA,93,2,32,10010,75,70,72,NA,NA,1,161,232,13,12,NA,1,323295,51,3,NA,100,100,NA,NA,NA,13880,16
Bahrain,Middle East & North Africa,18,100,NA,NA,2000,NA,NA,18,3,8263000000,2,NA,1.07E+10,710,3,98,3,21,710,77,74,75,NA,NA,3,74,106,9,18,3,2,724788,43,0,NA,99,105,NA,NA,NA,710,4
Bangladesh,Asia,134,90110,9,1634473,7951000,NA,NA,26,8,2.08E+10,3,8710,6.14E+10,12,NA,88,7,0,130170,64,62,63,NA,NA,1,207,239,54,1,0,2,153281120,49,0,1,NA,NA,NA,NA,NA,144000,NA
Barbados,Latin America & Caribbean,42,190,-7,NA,16000,NA,NA,11,7,NA,2,20,NA,725,NA,92,6,55,430,79,74,77,NA,NA,NA,62,114,11,14,NA,0,291933,51,2,NA,100,100,NA,NA,NA,430,NA
Belarus,Europe,23,88600,6,281877,5455000,3,3,9,15,3.14E+10,1,78940,1.83E+10,204,11,99,10,35,207480,74,63,68,NA,4,1,128,368,12,1,NA,0,9775591,53,0,NA,97,102,94797,NA,NA,207600,20
Belgium,Europe,8,13860,NA,3340509,844000,NA,NA,11,10,8.92E+10,2,6670,2.49E+11,3451,5,97,3,46,30230,82,77,79,NA,NA,1,62,114,4,38,NA,1,10478650,50,0,NA,100,97,NA,NA,NA,30530,26
Belize,Latin America & Caribbean,84,1520,41,NA,70000,NA,NA,28,5,NA,3,16530,1082180096,198,NA,96,4,9,22810,74,69,72,NA,NA,NA,74,147,15,14,NA,3,291800,49,2,NA,96,102,NA,NA,NA,22970,NA
Benin,Sub-Saharan Africa,127,35670,41,NA,2750000,NA,NA,41,12,589000000,6,23510,2727160320,28,0,93,5,5,110620,57,55,56,NA,NA,NA,243,295,89,0,NA,3,8490301,50,2,NA,80,57,NA,NA,NA,112620,15
Bermuda,Latin America & Caribbean,NA,10,NA,NA,1000,NA,NA,13,7,NA,2,10,NA,NA,NA,NA,NA,66,50,81,76,79,NA,NA,NA,NA,NA,NA,NA,NA,0,63570,NA,NA,NA,103,109,NA,NA,NA,50,NA
Bhutan,Asia,42,5920,141,49092,159000,NA,NA,20,7,NA,2,31950,649771200,52,NA,95,5,4,47000,67,63,65,60,NA,NA,178,228,65,2,NA,2,637013,47,0,NA,97,88,NA,NA,NA,47000,NA
Bolivia,Latin America & Caribbean,81,377680,69,1892343,3050000,NA,NA,29,8,4396000000,4,587400,9742456832,71,NA,81,5,5,1084380,67,63,65,NA,NA,2,180,240,52,2,NA,2,9182015,50,0,NA,NA,NA,NA,NA,NA,1098580,16
BosniaandHerzegovina,Europe,21,21470,141,NA,1000000,2,2,9,9,9068000000,1,21850,6798370816,243,3,93,NA,21,51200,77,72,74,NA,NA,2,78,150,13,5,1,0,3915238,51,0,NA,NA,NA,21846,NA,NA,51210,20
Botswana,Sub-Saharan Africa,56,259800,26,229987,377000,NA,NA,25,15,2581000000,3,119430,8045992960,362,NA,97,9,3,566730,49,49,49,NA,NA,3,583,604,87,5,NA,1,1835938,50,24,NA,98,105,NA,NA,NA,581730,NA
Brazil,Latin America & Caribbean,89,2636000,1,37661733,59000000,NA,NA,20,6,3.75E+11,2,4776980,7.38E+11,371,NA,96,7,17,8459420,76,68,72,NA,NA,1,125,238,20,16,NA,1,186830759,50,1,NA,NA,NA,NA,NA,NA,8514880,NA
BruneiDarussalam,Asia,29,250,NA,977516,14000,NA,NA,22,3,2803000000,2,2780,6649483264,519,NA,99,1,36,5270,79,75,77,NA,NA,3,66,91,8,9,NA,2,373831,48,0,NA,100,104,3650,NA,NA,5770,NA
Bulgaria,Europe,42,52650,NA,653703,3173000,5,2,9,15,3.19E+10,1,36250,1.63E+10,272,6,96,5,21,108640,76,69,73,NA,NA,2,92,221,12,6,NA,-1,7740000,51,0,NA,99,96,NA,NA,NA,111000,23
BurkinaFaso,Sub-Saharan Africa,133,109000,49,66273,4840000,NA,NA,45,15,NA,6,67940,3529520128,27,NA,96,6,0,273600,53,50,52,24,NA,1,191,292,121,0,NA,3,13933363,50,2,NA,80,71,NA,NA,NA,274000,11
Burundi,Sub-Saharan Africa,55,23260,46,NA,971000,NA,NA,46,16,NA,7,1520,789697344,3,NA,74,14,1,25680,50,47,49,NA,11,6,384,420,109,1,NA,4,7858791,51,3,NA,86,74,NA,NA,NA,27830,NA
Cambodia,Asia,45,53560,39,168810,3700000,NA,NA,27,9,NA,3,104470,5697206272,29,NA,82,6,0,176520,61,56,58,NA,NA,2,253,372,67,0,NA,2,13955507,51,2,NA,89,NA,NA,NA,NA,181040,8
Cameroon,Sub-Saharan Africa,125,91600,23,384059,5960000,NA,NA,36,15,3490000000,5,212450,1.21E+10,49,NA,80,2,1,465400,51,50,50,NA,NA,1,420,419,87,1,NA,2,17795149,50,5,NA,85,80,NA,NA,NA,475440,NA
Canada,North America,14,675000,NA,45229860,45660000,NA,NA,10,7,5.59E+11,2,3101340,8.22E+11,3430,NA,94,2,68,9093510,83,78,80,NA,NA,1,NA,NA,5,88,NA,1,32312000,50,0,NA,NA,NA,NA,NA,NA,9984670,14
CapeVerde,Sub-Saharan Africa,87,740,320,690000,46000,NA,NA,30,5,NA,4,840,680688576,114,NA,73,0,6,4030,74,68,71,NA,NA,NA,104,180,26,11,NA,2,506807,52,NA,NA,95,107,NA,NA,NA,4030,NA
CaymanIslands,Latin America & Caribbean,NA,30,NA,NA,1000,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,44,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45000,NA,NA,NA,89,92,NA,NA,NA,260,NA
CentralAfricanRepublic,Sub-Saharan Africa,122,52200,23,NA,1930000,NA,NA,37,19,NA,5,227550,914782976,13,NA,40,3,0,623000,46,43,44,NA,NA,1,539,573,115,0,NA,2,4191429,51,11,NA,69,NA,NA,NA,NA,623000,NA
Chad,Sub-Saharan Africa,174,492300,38,NA,4200000,NA,NA,46,16,NA,6,119210,2776428800,22,0,20,8,0,1259200,52,49,51,NA,NA,1,298,349,124,0,NA,3,10145609,50,4,NA,68,33,NA,NA,NA,1284000,NA
ChannelIslands,Europe,11,76,NA,NA,3800,NA,NA,10,10,NA,1,10,NA,NA,NA,NA,NA,NA,190,81,76,79,NA,NA,NA,43,81,NA,NA,NA,0,148622,50,NA,NA,NA,NA,NA,NA,NA,190,NA
Chile,Latin America & Caribbean,60,152450,9,5939020,1950000,NA,NA,15,5,5.01E+10,2,161210,9.32E+10,397,NA,91,3,28,748800,81,75,78,NA,NA,4,63,132,8,14,NA,1,16295102,50,0,NA,96,101,NA,NA,NA,756630,19
China,Asia,6,5563280,1,136721623,143296000,NA,NA,12,7,2.32E+12,2,1972900,1.89E+12,81,2,87,2,9,9327488,74,70,72,NA,2,2,94,155,21,4,2,1,1304500000,48,0,NA,NA,NA,1930544,4,67,9598088,9
