Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Kenya,Sub-Saharan Africa,3,5,421,447,104,270210,22,2424382,5264000,NA,NA,39,12,4928000000,35220,1.52E+10,24,NA,76,10,3,569140,54,52,53,NA,NA,2,79,1,NA,35598952,50,6,NA,96,95,NA,NA,NA,580370,18
Kiribati,Pacific,1,NA,NA,NA,NA,370,281,NA,2000,NA,NA,NA,NA,NA,20,51859948,118,NA,79,NA,2,810,NA,NA,NA,NA,NA,NA,48,NA,NA,99000,NA,NA,NA,101,114,NA,NA,NA,810,NA
NorthKorea,Asia,0,2,130,186,1,30500,4,101313,2800000,NA,NA,14,10,1.93E+10,61870,NA,NA,NA,79,NA,NA,120410,69,65,67,NA,NA,NA,42,NA,NA,23615611,51,0,NA,NA,NA,NA,NA,NA,120540,NA
SouthKorea,Asia,0,1,48,120,4,18810,NA,33888328,1624000,2,7,9,5,3.76E+11,62650,6.39E+11,973,NA,96,3,68,98730,82,75,78,NA,NA,3,5,53,NA,48294143,50,0,NA,95,96,102293,NA,NA,99260,16
Kuwait,Middle East & North Africa,3,2,54,88,14,1540,NA,2433213,15000,NA,NA,21,2,3.89E+10,60,5.22E+10,687,2,99,4,28,17820,80,75,78,93,NA,5,10,24,2,2535446,40,0,NA,98,105,NA,NA,NA,17820,1
KyrgyzRepublic,Asia,1,2,133,283,31,107450,52,225923,1284000,3,4,21,7,9475000000,8690,1649392768,29,5,98,4,5,191800,72,NA,NA,NA,NA,3,37,2,NA,5143500,51,0,NA,99,101,NA,NA,NA,199900,NA
LaoPDR,Asia,2,3,201,243,79,19590,52,293442,1000000,4,2,27,7,NA,161420,2350634496,18,NA,49,7,0,230800,65,62,63,NA,NA,NA,62,2,NA,5663910,50,0,NA,88,76,NA,NA,NA,236800,NA
Latvia,Europe,-1,1,111,311,15,17340,NA,1032128,1092000,2,2,9,14,6217000000,29410,1.16E+10,443,8,99,7,45,62290,77,66,71,NA,NA,2,8,25,NA,2300500,54,1,NA,96,100,69829,NA,NA,64590,15
Lebanon,Middle East & North Africa,1,2,105,158,26,3880,61,1076258,186000,NA,NA,19,7,8992000000,1360,2.05E+10,460,4,92,NA,17,10230,74,69,72,NA,NA,5,26,10,2,4010740,51,0,NA,97,110,6970,NA,NA,10400,NA
Lesotho,Sub-Saharan Africa,1,4,676,707,80,23340,35,NA,330000,NA,NA,30,19,NA,80,982207232,69,NA,83,3,3,30350,44,43,43,NA,NA,2,102,0,NA,1980831,53,23,7,100,126,NA,NA,NA,30350,44
Liberia,Sub-Saharan Africa,3,7,434,473,222,26020,68,NA,382000,NA,NA,50,19,NA,31540,444234240,10,NA,87,NA,NA,96320,46,44,45,NA,NA,NA,157,NA,NA,3441796,50,NA,NA,NA,NA,NA,NA,NA,111370,NA
Libya,Middle East & North Africa,2,3,96,155,3,155850,4,0,1750000,NA,NA,24,4,1.95E+10,2170,4.04E+10,223,NA,98,2,4,1759540,76,71,74,NA,NA,2,18,2,NA,5918217,48,0,NA,98,119,NA,NA,NA,1759540,NA
Liechtenstein,Europe,1,NA,NA,NA,NA,70,NA,NA,4000,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,63,160,NA,NA,NA,NA,NA,NA,3,NA,NA,34750,NA,NA,NA,NA,NA,NA,NA,NA,160,NA
Lithuania,Europe,-1,1,110,326,20,28370,NA,505409,1906000,4,2,9,13,1.06E+10,20990,1.66E+10,448,8,94,3,26,62680,77,65,71,NA,NA,1,7,18,NA,3414300,53,0,NA,99,100,79497,NA,NA,65300,17
Luxembourg,Europe,1,2,52,107,11,1290,NA,851136,60000,NA,NA,12,8,7294000000,870,2.36E+10,6330,NA,99,2,69,2590,82,76,79,NA,NA,1,4,63,NA,456710,50,0,NA,101,106,NA,NA,NA,2590,26
Macao,Asia,1,1,44,67,5,NA,NA,2040654,NA,NA,NA,7,5,NA,NA,1.04E+10,NA,NA,NA,4,36,28,83,78,80,NA,NA,NA,NA,34,NA,473090,52,NA,NA,92,101,NA,NA,NA,28,22
Macedonia,Europe,0,1,82,139,23,12420,112,191977,566000,3,2,11,9,6949000000,9060,3847901184,224,5,97,0,8,25430,76,72,74,NA,NA,2,14,22,NA,2033655,50,0,NA,100,98,NA,NA,NA,25710,NA
Madagascar,Sub-Saharan Africa,3,5,235,291,139,408430,49,574904,2950000,3,4,38,10,NA,128380,4339130880,9,NA,61,19,1,581540,60,57,59,NA,NA,1,74,1,NA,18642586,50,1,NA,96,NA,NA,NA,NA,587040,10
Malawi,Sub-Saharan Africa,3,6,532,554,145,45900,44,132275,2600000,NA,NA,42,16,NA,34020,1827126400,19,NA,93,15,0,94080,47,47,47,NA,NA,NA,79,0,NA,13226091,50,14,10,103,82,NA,NA,NA,118480,NA
Malaysia,Asia,2,3,91,159,14,78700,1,20369086,1800000,NA,NA,21,4,8.37E+10,208900,1.12E+11,222,NA,95,3,43,328550,76,72,74,NA,NA,2,10,22,NA,25652985,49,0,NA,NA,NA,NA,NA,NA,329740,NA
Maldives,Sub-Saharan Africa,2,3,169,190,24,140,261,81945,4000,NA,NA,23,6,NA,10,790226240,316,NA,98,NA,7,300,68,67,67,NA,NA,NA,28,15,NA,295297,49,0,NA,98,NA,NA,NA,NA,300,18
Mali,Sub-Saharan Africa,3,7,190,271,187,394790,60,NA,4800000,NA,NA,48,15,NA,125720,3294054144,28,NA,85,6,1,1220190,56,51,53,NA,NA,2,120,0,NA,11611090,51,2,NA,77,60,NA,NA,NA,1240190,16
Malta,Europe,1,1,50,75,14,100,NA,1371865,9000,NA,NA,10,7,1984000000,NA,4053831680,1235,8,92,3,32,320,81,78,80,NA,NA,1,5,17,NA,403500,50,0,NA,94,103,NA,NA,NA,320,26
MarshallIslands,Pacific,3,NA,NA,NA,NA,140,894,25789,2000,NA,NA,NA,NA,NA,NA,128874664,294,NA,77,NA,3,180,NA,NA,NA,NA,NA,NA,51,NA,NA,63266,NA,NA,NA,96,105,NA,NA,NA,180,NA
Mauritania,Sub-Saharan Africa,3,5,116,183,91,397620,66,138595,500000,NA,NA,34,8,NA,2670,1317067648,17,NA,71,12,1,1030700,65,62,63,NA,NA,4,78,3,NA,2963105,49,1,NA,106,90,NA,NA,NA,1030700,NA
Mauritius,Indian Ocean,1,2,110,214,40,1130,28,1145737,100000,2,4,15,7,NA,370,5474618880,218,3,97,5,24,2030,77,70,73,NA,NA,0,13,17,NA,1243253,50,1,NA,100,99,NA,NA,NA,2040,18
Mayotte,Indian Ocean,5,NA,NA,NA,NA,200,1119,NA,7000,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,NA,NA,NA,NA,NA,NA,NA,NA,374,NA
Mexico,Latin America & Caribbean,1,2,82,147,67,1075000,2,21857658,25000000,NA,NA,19,5,1.96E+11,642380,6.35E+11,474,NA,98,4,18,1943950,77,72,74,92,8,0,30,14,NA,103089133,51,0,NA,97,102,355796,NA,NA,1964380,NA
Micronesia,Pacific,1,4,159,183,30,310,966,NA,3000,NA,NA,27,6,NA,630,219893952,290,NA,94,NA,13,700,69,67,68,NA,NA,NA,34,5,NA,110058,49,NA,NA,98,107,NA,NA,NA,700,NA
Moldova,Europe,-1,1,141,298,34,25180,49,231985,1848000,3,3,11,12,5535000000,3290,1813877376,58,6,98,13,14,32870,72,65,68,NA,6,0,17,9,NA,3876661,52,1,9,99,103,12737,NA,NA,33840,18
Monaco,Europe,0,NA,NA,NA,NA,NA,NA,87523,NA,NA,NA,NA,NA,NA,0,NA,6128,NA,99,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,32500,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Mongolia,Asia,2,2,179,274,47,1304600,86,295252,1158000,NA,NA,18,6,NA,102520,1491068672,35,NA,99,13,11,1566500,68,65,67,NA,6,1,36,13,NA,2554000,50,0,NA,102,113,NA,NA,NA,1566500,NA
Montenegro,Europe,-2,2,84,172,17,NA,NA,383140,NA,NA,NA,13,9,NA,NA,1061290624,299,4,NA,NA,NA,13812,77,72,74,NA,4,NA,9,NA,NA,607969,51,NA,NA,NA,NA,NA,NA,NA,14026,NA
Morocco,Middle East & North Africa,1,2,104,153,19,303950,23,3492984,8480000,NA,NA,23,6,1.94E+10,43640,4.71E+10,89,NA,98,1,15,446300,73,68,70,NA,NA,4,36,2,NA,30142709,51,0,NA,89,84,57626,NA,NA,446550,22
Mozambique,Sub-Saharan Africa,2,5,564,592,160,486300,62,346830,4400000,NA,NA,41,20,9243000000,192620,6413907968,14,NA,72,7,1,786380,44,42,43,NA,NA,0,100,1,NA,20532675,52,16,NA,84,69,NA,NA,NA,799380,NA
Myanmar,Asia,1,2,195,310,17,112680,3,1503624,10068000,NA,NA,19,10,3916000000,322220,NA,4,NA,73,9,0,657550,65,58,61,NA,NA,NA,75,1,NA,47967266,50,1,NA,102,99,NA,NA,NA,676580,5
Namibia,Sub-Saharan Africa,1,3,505,529,64,388200,57,399280,815000,NA,NA,26,13,2884000000,76610,4308047872,165,NA,86,2,4,823290,53,52,52,NA,NA,3,46,12,NA,2019677,51,20,NA,100,114,NA,NA,NA,824290,NA
Nepal,Asia,2,3,217,240,118,42220,16,480266,2357000,NA,NA,29,8,1884000000,36360,6519953920,16,NA,75,7,1,143000,63,62,63,NA,NA,2,49,0,NA,27093656,50,1,NA,91,86,NA,NA,NA,147180,9
Netherlands,Europe,0,2,54,86,5,19210,NA,26132696,908000,NA,NA,12,8,1.14E+11,3650,4.08E+11,3560,NA,98,2,74,33880,82,77,79,NA,NA,2,4,85,4,16319850,50,0,NA,98,98,NA,NA,NA,41530,23
NetherlandsAntilles,Latin America & Caribbean,1,2,81,177,32,80,NA,NA,8000,NA,NA,13,8,964000000,10,NA,NA,NA,NA,4,NA,800,79,71,75,NA,NA,NA,NA,NA,NA,186392,53,NA,NA,NA,NA,NA,NA,NA,800,NA
NewCaledonia,Pacific,2,2,72,143,27,2490,NA,NA,6000,NA,NA,17,5,NA,7170,NA,NA,NA,NA,NA,32,18280,78,72,75,NA,NA,NA,NA,3,NA,234479,49,NA,NA,NA,NA,NA,NA,NA,18580,NA
NewZealand,Pacific,1,2,55,83,24,172690,NA,11951935,1500000,NA,NA,14,7,3.99E+10,83090,6.24E+10,2403,NA,89,3,67,267710,82,78,80,NA,NA,1,5,50,NA,4133900,50,0,NA,100,107,93460,NA,NA,267710,32
Nicaragua,Latin America & Caribbean,1,3,128,218,115,53260,136,NA,1925000,NA,NA,25,5,2262000000,51890,4600330752,75,NA,86,10,3,121400,75,69,72,NA,NA,1,30,4,NA,5462539,50,0,NA,97,113,NA,NA,NA,130000,17
Niger,Sub-Saharan Africa,4,7,185,171,206,385000,39,NA,14482000,NA,NA,50,15,NA,12660,2206988032,9,NA,39,8,0,1266700,55,57,56,29,NA,NA,150,0,NA,13264190,49,1,NA,73,64,18423,NA,NA,1267000,NA
Nigeria,Sub-Saharan Africa,2,6,405,429,137,740000,45,747648,32000000,NA,NA,41,17,1.79E+10,110890,6.06E+10,27,NA,54,18,4,910770,47,46,47,NA,NA,1,100,1,NA,141356083,50,4,NA,83,82,NA,NA,NA,923770,NA
NorthernMarianaIslands,Pacific,3,NA,NA,NA,NA,30,NA,NA,1000,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300,NA,NA,NA,NA,NA,NA,NA,NA,460,NA
Norway,Europe,1,2,56,88,9,10360,NA,NA,867000,NA,NA,12,9,1.16E+11,93870,1.88E+11,5910,4,91,2,58,304280,82,78,80,NA,NA,2,3,59,NA,4623300,50,0,NA,100,101,92864,NA,NA,323800,29
Oman,Middle East & North Africa,1,3,78,106,11,18050,-2,NA,62000,NA,NA,23,3,9418000000,20,2.49E+10,312,2,99,2,11,309500,77,74,75,NA,NA,12,10,5,2,2507042,44,0,NA,100,96,NA,NA,NA,309500,NA
Pakistan,Asia,2,4,148,180,30,270700,10,5364134,21275000,NA,NA,26,7,7.11E+10,19020,9.44E+10,15,NA,80,9,7,770880,65,64,65,50,NA,4,79,1,1,155772000,48,0,NA,76,78,NA,NA,NA,796100,10
Palau,Pacific,0,NA,NA,NA,NA,90,1167,NA,4000,NA,NA,NA,NA,NA,400,127987336,690,NA,98,NA,NA,460,NA,NA,NA,NA,NA,NA,10,NA,NA,20100,NA,NA,NA,94,NA,NA,NA,NA,460,NA
Panama,Latin America & Caribbean,2,3,76,141,85,22300,6,1795958,548000,NA,NA,22,5,4846000000,42940,1.43E+10,351,NA,85,3,6,74430,78,73,75,NA,NA,NA,18,5,NA,3231502,49,1,NA,97,107,NA,NA,NA,75520,NA
PapuaNewGuinea,Pacific,2,4,305,422,59,10650,44,818773,240000,NA,NA,31,10,NA,294370,3696903680,34,NA,61,2,2,452860,60,54,57,NA,NA,1,55,6,NA,6069710,49,2,NA,84,NA,NA,NA,NA,462840,NA
Paraguay,Latin America & Caribbean,2,3,131,178,76,242580,9,445854,4200000,NA,NA,26,6,5006000000,184750,8029957632,92,1,75,7,3,397300,74,NA,NA,NA,NA,1,20,8,NA,5898651,49,0,NA,NA,NA,NA,NA,NA,406750,12
Peru,Latin America & Caribbean,1,3,127,203,62,213100,17,4332223,3700000,NA,NA,21,6,2.31E+10,687420,6.54E+10,125,NA,89,2,17,1280000,73,68,71,88,NA,1,23,10,NA,27274266,50,1,NA,101,102,NA,NA,NA,1285220,14
Philippines,Pacific,2,3,110,164,49,122000,7,8056829,5700000,NA,NA,27,5,4.97E+10,71620,9.44E+10,37,NA,88,8,5,298170,73,69,71,NA,NA,1,25,5,NA,84566163,50,0,NA,99,112,NA,NA,NA,300000,13
Poland,Europe,0,1,68,194,14,159060,NA,3553680,12141000,3,3,9,10,1.31E+11,91920,1.99E+11,495,NA,99,2,26,306330,79,71,75,NA,NA,2,6,24,2,38165450,51,0,NA,100,99,NA,NA,NA,312690,17
Portugal,Europe,0,1,58,139,15,36800,NA,10139655,1262000,NA,NA,10,10,4.92E+10,37830,1.17E+11,1800,NA,93,2,27,91500,81,75,78,NA,NA,2,4,13,3,10549450,51,0,NA,95,109,NA,NA,NA,92120,21
PuertoRico,Latin America & Caribbean,0,2,55,142,52,2230,NA,NA,71000,NA,NA,13,8,NA,4080,NA,NA,NA,NA,NA,23,8870,82,74,78,NA,NA,NA,NA,1,NA,3912054,51,NA,NA,NA,NA,NA,NA,NA,8950,NA
Qatar,Middle East & North Africa,4,3,114,117,18,710,NA,6041040,18000,NA,NA,17,2,1.34E+10,NA,NA,2186,2,97,9,28,11000,76,75,75,NA,NA,NA,18,18,3,796186,33,0,NA,99,100,NA,NA,NA,11000,21
Romania,Europe,0,1,89,209,34,145130,NA,1707714,9288000,2,2,10,12,5.07E+10,63700,4.89E+10,250,7,97,9,22,229980,75,68,72,NA,NA,2,16,13,NA,21634350,51,0,NA,99,101,NA,NA,NA,238390,12
RussianFederation,Asia,0,1,173,467,29,2156800,NA,26522315,121781000,2,8,10,16,8.28E+11,8087900,3.50E+11,277,10,98,13,15,16381390,72,59,65,NA,NA,4,15,12,NA,143150000,53,1,NA,100,99,NA,NA,NA,17098240,17
Rwanda,Sub-Saharan Africa,2,6,435,487,42,19400,62,NA,1200000,NA,NA,43,18,NA,4800,2351067904,19,NA,95,9,1,24670,47,43,45,NA,6,3,100,0,NA,9233793,52,3,7,104,89,NA,NA,NA,26340,NA
Samoa,Pacific,1,4,115,204,31,930,239,266625,30000,NA,NA,27,5,NA,1710,286239968,113,NA,64,2,3,2830,74,68,71,NA,NA,NA,24,2,NA,183845,48,NA,NA,100,113,NA,NA,NA,2840,NA
SanMarino,Europe,1,NA,NA,NA,NA,10,NA,NA,1000,NA,NA,NA,NA,NA,NA,934847232,3490,NA,95,NA,54,60,NA,NA,NA,NA,NA,NA,3,86,NA,28200,NA,NA,NA,NA,NA,NA,NA,NA,60,21
SaoTomeandPrincipe,Sub-Saharan Africa,2,4,121,175,72,570,209,43282,9000,NA,NA,33,8,NA,270,NA,49,NA,97,NA,15,960,67,63,65,NA,NA,NA,63,4,NA,152622,50,NA,NA,97,107,NA,NA,NA,960,NA
SaudiArabia,Middle East & North Africa,3,4,95,146,30,NA,1,15933045,3500000,NA,NA,26,4,1.58E+11,27280,2.28E+11,448,NA,96,1,13,2000000,NA,70,NA,NA,NA,8,21,14,NA,23118994,45,0,NA,97,92,NA,NA,NA,2000000,NA
Senegal,Sub-Saharan Africa,3,5,109,178,94,82480,57,449682,2550000,NA,NA,36,9,1777000000,86730,5891089920,38,NA,84,2,5,192530,65,61,62,NA,19,1,61,2,NA,11770340,50,1,2,96,75,NA,NA,NA,196720,NA
Serbia,Europe,0,1,86,162,25,NA,153,918540,NA,4,3,10,14,NA,NA,1.16E+10,212,6,98,16,NA,88361,75,70,73,NA,5,2,8,NA,NA,7440769,50,NA,NA,NA,NA,NA,NA,NA,88361,NA
Seychelles,Indian Ocean,0,2,NA,NA,NA,60,181,498836,1000,NA,NA,18,8,NA,400,562805184,557,NA,99,1,25,460,77,67,72,NA,NA,2,12,19,NA,82900,NA,NA,NA,101,99,NA,NA,NA,460,35
SierraLeone,Sub-Saharan Africa,4,6,352,420,172,28800,62,16743,600000,NA,NA,46,23,NA,27540,1201615488,8,NA,64,12,NA,71620,44,40,42,NA,24,1,160,NA,NA,5586403,51,2,NA,NA,NA,NA,NA,NA,71740,NA
Singapore,Asia,2,1,48,85,5,8,NA,17744017,600,NA,NA,10,4,3.63E+10,20,1.13E+11,944,NA,96,0,40,689,82,78,80,NA,NA,5,2,68,NA,4341800,49,0,NA,100,103,3234,NA,NA,699,13
SlovakRepublic,Europe,0,1,78,202,20,19410,NA,711939,1391000,2,6,10,10,2.65E+10,19290,2.55E+10,626,7,99,3,35,48100,78,70,74,NA,NA,2,7,36,NA,5387000,51,0,NA,98,101,NA,NA,NA,49030,15
Slovenia,Europe,0,1,64,140,6,5080,NA,757651,176000,1,3,9,9,1.38E+10,12640,2.29E+10,1495,5,96,2,54,20140,81,74,78,NA,NA,1,3,40,2,2000500,51,0,NA,99,100,38485,NA,NA,20270,21
SolomonIslands,Pacific,2,4,210,240,45,850,420,91450,18000,NA,NA,32,8,NA,21720,323343808,28,NA,78,7,1,27990,64,62,63,NA,NA,NA,56,5,NA,472419,48,NA,NA,96,84,NA,NA,NA,28900,NA
Somalia,Sub-Saharan Africa,3,6,343,393,68,443760,29,NA,1350000,NA,NA,44,17,NA,71310,NA,NA,NA,35,NA,1,627340,48,46,47,NA,NA,NA,91,1,NA,8196395,50,1,NA,NA,NA,NA,NA,NA,637660,NA
SouthAfrica,Sub-Saharan Africa,1,3,538,588,65,996400,15,11844657,14753000,NA,NA,24,21,2.27E+11,92030,1.61E+11,437,NA,97,3,11,1214470,49,47,48,NA,NA,1,55,8,NA,46892428,51,19,NA,NA,NA,NA,NA,NA,1219090,27
Spain,Europe,2,1,45,110,10,290300,NA,49855007,13700000,NA,NA,11,9,2.67E+11,179150,6.81E+11,2152,NA,96,3,40,499190,84,77,81,NA,NA,1,4,28,NA,43398150,50,1,NA,99,106,NA,NA,NA,505370,12
SriLanka,Asia,1,2,104,248,27,23560,61,2817778,916000,NA,NA,19,7,7430000000,19330,1.98E+10,51,NA,99,12,2,64630,77,72,75,NA,NA,3,12,4,NA,19668000,50,0,NA,100,NA,NA,NA,NA,65610,14
St.KittsandNevis,Latin America & Caribbean,2,NA,NA,NA,NA,100,52,NA,7000,NA,NA,NA,NA,NA,50,390861408,478,6,99,2,NA,260,NA,NA,NA,NA,NA,NA,18,NA,NA,48000,NA,NA,NA,106,98,NA,NA,NA,260,NA
St.Lucia,Latin America & Caribbean,1,2,126,158,61,200,64,NA,4000,NA,NA,14,7,NA,170,762979264,323,3,95,4,NA,610,76,72,74,NA,NA,NA,13,NA,NA,164791,50,NA,NA,97,121,NA,NA,NA,620,NA
St.VincentandtheGrenadines,Latin America & Caribbean,1,2,110,163,66,100,37,NA,5000,NA,NA,20,7,NA,110,389795104,218,NA,99,4,8,390,73,69,71,NA,NA,NA,17,14,NA,119137,50,NA,NA,90,124,NA,NA,NA,390,NA
Sudan,Sub-Saharan Africa,2,4,275,316,62,1368370,50,510977,19434000,NA,NA,33,11,3478000000,675460,1.69E+10,29,NA,78,9,8,2376000,59,56,58,NA,NA,NA,62,9,NA,36899747,50,2,NA,87,94,NA,NA,NA,2505810,NA
Suriname,Latin America & Caribbean,1,2,126,236,42,910,97,315410,60000,NA,NA,20,7,NA,147760,1181892224,209,NA,83,10,7,156000,73,67,70,NA,NA,NA,30,4,NA,452468,50,2,NA,101,133,NA,NA,NA,163270,NA
Swaziland,Sub-Saharan Africa,1,4,694,728,35,13920,41,NA,178000,NA,NA,34,20,NA,5410,1561608064,146,NA,71,5,4,17200,41,42,41,NA,NA,NA,110,4,NA,1131000,52,33,NA,93,100,NA,NA,NA,17360,NA
Sweden,Europe,0,2,51,80,5,32190,NA,NA,2703000,NA,NA,10,10,1.39E+11,275280,2.72E+11,3598,NA,99,0,76,410330,83,78,81,NA,NA,2,3,84,NA,9024040,49,0,NA,100,99,425383,NA,NA,450290,21
Switzerland,Europe,1,1,46,84,5,15250,NA,9662619,410000,NA,NA,10,8,6.18E+10,12210,2.60E+11,5694,NA,94,1,51,40000,84,79,81,NA,NA,1,4,86,NA,7437100,50,0,NA,99,95,71296,NA,NA,41280,10
SyrianArabRepublic,Middle East & North Africa,3,3,87,129,40,140080,4,1239825,4873000,NA,NA,27,3,2.67E+10,4610,2.38E+10,61,NA,99,7,6,183780,76,72,74,NA,NA,5,13,4,NA,18893881,49,0,NA,95,94,NA,NA,NA,185180,NA
Tajikistan,Asia,1,4,142,214,29,42550,38,479172,930000,3,5,28,7,1.48E+10,4100,1532285056,18,6,85,NA,0,139960,69,64,66,NA,10,NA,59,1,NA,6550213,50,0,NA,96,83,NA,NA,NA,142550,NA
Tanzania,Sub-Saharan Africa,3,5,423,456,125,343500,38,257223,9200000,NA,NA,40,14,2355000000,352570,1.25E+10,17,NA,90,9,1,885800,52,50,51,NA,10,1,76,1,NA,38477873,50,6,5,96,NA,NA,NA,NA,947300,NA
Thailand,Asia,1,2,165,288,43,186000,-3,18902629,14200000,NA,NA,15,9,1.25E+11,145200,1.57E+11,98,NA,98,5,12,510890,75,65,70,NA,NA,1,8,7,NA,63002911,51,1,NA,99,107,NA,NA,NA,513120,17
TimorLeste,Asia,5,7,242,277,58,3400,189,NA,122000,NA,NA,51,15,NA,7980,331100000,45,NA,55,NA,NA,14870,58,56,57,NA,NA,NA,52,NA,NA,975539,49,0,NA,92,100,NA,NA,NA,14870,NA
Togo,Sub-Saharan Africa,3,5,233,282,95,36300,13,NA,2490000,NA,NA,38,10,587000000,3860,1479506432,18,1,82,7,5,54390,60,56,58,NA,NA,2,70,3,NA,6238572,50,3,NA,85,51,NA,NA,NA,56790,14
Tonga,Pacific,0,4,120,147,18,300,320,NA,15000,NA,NA,25,6,NA,40,166635104,104,NA,99,8,3,720,74,72,73,NA,NA,NA,20,6,NA,99361,49,NA,NA,96,NA,NA,NA,NA,750,NA
TrinidadandTobago,Latin America & Caribbean,0,2,192,246,35,1330,-2,1055106,75000,NA,NA,15,8,6669000000,2260,1.23E+10,513,NA,95,7,12,5130,71,67,69,NA,NA,NA,32,10,NA,1323722,51,3,NA,98,105,NA,NA,NA,5130,28
Tunisia,Middle East & North Africa,1,2,74,128,7,97690,36,1996699,2729000,NA,NA,17,6,1.20E+10,10560,2.42E+10,158,NA,98,2,10,155360,76,72,73,NA,NA,2,20,6,NA,10029000,49,0,NA,97,110,NA,NA,NA,163610,21
Turkey,Middle East & North Africa,1,2,89,156,41,412230,6,16943828,23830000,2,4,19,6,1.37E+11,101750,2.47E+11,383,3,90,10,16,769630,74,69,71,NA,NA,3,26,6,1,72065000,49,0,NA,95,82,426914,NA,NA,783560,NA
Turkmenistan,Asia,1,3,146,302,16,330650,6,1653638,2300000,NA,NA,22,8,8368000000,41270,NA,156,NA,99,NA,1,469930,67,59,63,NA,NA,NA,47,7,NA,4833266,51,0,NA,NA,NA,NA,NA,NA,488100,NA
Uganda,Sub-Saharan Africa,3,7,450,462,160,127120,41,49368,5400000,NA,NA,47,14,NA,36270,7794889216,22,NA,84,8,2,197100,51,49,50,NA,NA,2,79,1,NA,28947181,50,6,NA,100,81,NA,NA,NA,241040,12
Ukraine,Europe,-1,1,131,375,29,413040,8,2512910,32452000,5,5,9,17,1.53E+11,95750,4.53E+10,128,9,96,14,10,579380,74,62,68,NA,4,2,20,4,NA,47105150,54,1,NA,100,NA,169323,NA,NA,603550,17
UnitedArabEmirates,Middle East & North Africa,4,2,51,77,20,5600,NA,NA,64000,NA,NA,16,1,5.63E+10,3120,1.04E+11,833,NA,94,NA,32,83600,82,77,79,NA,NA,2,8,26,NA,4104291,32,0,NA,99,101,NA,NA,NA,83600,NA
UnitedKingdom,Europe,1,2,57,91,25,169560,NA,93602879,5729000,NA,NA,12,10,3.77E+11,28450,1.63E+12,3064,NA,91,3,53,241930,81,77,79,NA,NA,3,5,76,NA,60226500,50,0,NA,100,103,388008,NA,NA,243610,28
UnitedStates,North America,1,2,NA,NA,43,4147780,NA,720547738,174448000,NA,NA,14,8,4.05E+12,3030890,1.10E+13,6657,NA,96,3,67,9161920,81,75,78,NA,NA,4,7,NA,NA,296507000,50,1,NA,99,102,6544257,NA,NA,9632030,11
Uruguay,Latin America & Caribbean,0,2,70,148,62,149550,4,586458,1370000,NA,NA,15,9,6635000000,15060,2.16E+10,404,2,96,5,20,175020,79,72,76,NA,NA,1,12,14,NA,3305723,51,0,NA,NA,NA,NA,NA,NA,176220,19
Uzbekistan,Asia,1,2,139,244,35,278900,6,1639276,4700000,3,5,20,6,4.34E+10,32950,1.79E+10,26,5,99,NA,3,425400,71,64,67,NA,NA,NA,40,3,3,26167369,50,0,NA,NA,NA,NA,NA,NA,447400,NA
Vanuatu,Pacific,3,4,132,180,47,1470,183,112254,20000,NA,NA,30,5,NA,4400,255499728,67,NA,66,1,3,12190,71,68,69,NA,NA,NA,31,1,NA,215366,49,NA,NA,98,NA,NA,NA,NA,12190,NA
Venezuela,Latin America & Caribbean,2,3,98,183,91,216900,2,5043028,2650000,NA,NA,22,5,7.57E+10,477130,1.33E+11,247,NA,87,16,13,882050,77,71,74,NA,NA,1,18,9,NA,26577000,50,1,NA,98,113,NA,NA,NA,912050,16
Vietnam,Asia,1,2,95,142,19,95920,23,5453683,6600000,2,5,18,5,4.76E+10,129310,4.48E+10,37,NA,95,8,13,310070,73,68,71,NA,NA,NA,16,1,NA,83104900,50,0,NA,94,98,NA,NA,NA,329310,NA
